SCATS_Number,Time,Average_Traffic_Volume
3120,01:00,41.72
3120,01:15,38.94
3120,01:30,36.73
3120,01:45,34.38
3120,02:00,33.38
3120,02:15,32.10
3120,02:30,31.52
3120,02:45,31.76
3120,03:00,31.75
3120,03:15,31.36
3120,03:30,30.44
3120,03:45,30.31
3120,04:00,30.34
3120,04:15,31.61
3120,04:30,32.50
3120,04:45,36.24
3120,05:00,37.61
3120,05:15,42.18
3120,05:30,49.65
3120,05:45,57.65
3120,06:00,72.65
3120,06:15,95.69
3120,06:30,119.69
3120,06:45,136.10
3120,07:00,147.43
3120,07:15,164.73
3120,07:30,177.05
3120,07:45,184.10
3120,08:00,189.81
3120,08:15,192.59
3120,08:30,189.38
3120,08:45,182.49
3120,09:00,170.40
3120,09:15,173.23
3120,09:30,167.64
3120,09:45,166.15
3120,10:00,156.22
3120,10:15,162.05
3120,10:30,159.75
3120,10:45,159.99
3120,11:00,156.17
3120,11:15,159.65
3120,11:30,160.24
3120,11:45,165.98
3120,12:00,165.15
3120,12:15,167.72
3120,12:30,166.07
3120,12:45,164.68
3120,13:00,162.59
3120,13:15,159.60
3120,13:30,165.02
3120,13:45,160.71
3120,14:00,159.24
3120,14:15,165.09
3120,14:30,163.61
3120,14:45,168.29
3120,15:00,171.19
3120,15:15,180.23
3120,15:30,174.39
3120,15:45,175.15
3120,16:00,178.19
3120,16:15,175.35
3120,16:30,180.29
3120,16:45,183.68
3120,17:00,185.55
3120,17:15,193.42
3120,17:30,191.11
3120,17:45,185.76
3120,18:00,183.84
3120,18:15,179.34
3120,18:30,169.95
3120,18:45,164.37
3120,19:00,153.64
3120,19:15,145.60
3120,19:30,133.52
3120,19:45,119.89
3120,20:00,112.65
3120,20:15,105.20
3120,20:30,103.77
3120,20:45,102.49
3120,21:00,107.40
3120,21:15,104.33
3120,21:30,99.45
3120,21:45,95.95
3120,22:00,94.93
3120,22:15,89.31
3120,22:30,85.24
3120,22:45,80.20
3120,23:00,75.67
3120,23:15,71.28
3120,23:30,63.82
3120,23:45,58.95
3122,00:00,29.86
3122,00:15,25.65
3122,00:30,20.27
3122,00:45,18.23
3122,01:00,15.69
3122,01:15,13.86
3122,01:30,12.05
3122,01:45,10.65
3122,02:00,9.26
3122,02:15,8.51
3122,02:30,7.88
3122,02:45,7.28
3122,03:00,7.13
3122,03:15,7.62
3122,03:30,7.00
3122,03:45,6.76
3122,04:00,6.91
3122,04:15,8.02
3122,04:30,8.76
3122,04:45,10.81
3122,05:00,12.38
3122,05:15,15.76
3122,05:30,20.98
3122,05:45,27.96
3122,06:00,38.63
3122,06:15,59.97
3122,06:30,90.56
3122,06:45,114.17
3122,07:00,136.57
3122,07:15,169.75
3122,07:30,175.85
3122,07:45,178.12
3122,08:00,178.81
3122,08:15,192.28
3122,08:30,187.24
3122,08:45,190.61
3122,09:00,190.99
3122,09:15,192.39
3122,09:30,182.52
3122,09:45,181.71
3122,10:00,167.27
3122,10:15,170.35
3122,10:30,173.73
3122,10:45,176.27
3122,11:00,169.01
3122,11:15,173.75
3122,11:30,178.53
3122,11:45,186.17
3122,12:00,185.29
3122,12:15,188.73
3122,12:30,186.59
3122,12:45,185.48
3122,13:00,181.61
3122,13:15,180.56
3122,13:30,181.12
3122,13:45,180.65
3122,14:00,179.91
3122,14:15,182.99
3122,14:30,188.05
3122,14:45,196.98
3122,15:00,208.63
3122,15:15,216.24
3122,15:30,218.09
3122,15:45,219.26
3122,16:00,220.94
3122,16:15,221.26
3122,16:30,227.44
3122,16:45,225.51
3122,17:00,232.73
3122,17:15,243.94
3122,17:30,238.22
3122,17:45,237.28
3122,18:00,230.74
3122,18:15,219.85
3122,18:30,196.48
3122,18:45,183.99
3122,19:00,167.40
3122,19:15,150.09
3122,19:30,127.99
3122,19:45,110.96
3122,20:00,99.10
3122,20:15,91.83
3122,20:30,88.17
3122,20:45,84.16
3122,21:00,85.69
3122,21:15,83.75
3122,21:30,79.09
3122,21:45,74.84
3122,22:00,74.45
3122,22:15,65.60
3122,22:30,62.26
3122,22:45,54.04
3122,23:00,49.56
3122,23:15,41.88
3122,23:30,37.44
3122,23:45,31.70
3126,00:00,43.53
3126,00:15,37.41
3126,00:30,32.11
3126,00:45,26.51
3126,01:00,24.16
3126,01:15,21.94
3126,01:30,18.71
3126,01:45,17.06
3126,02:00,13.92
3126,02:15,13.26
3126,02:30,12.44
3126,02:45,11.88
3126,03:00,11.17
3126,03:15,11.52
3126,03:30,9.82
3126,03:45,10.18
3126,04:00,11.31
3126,04:15,11.61
3126,04:30,13.94
3126,04:45,16.01
3126,05:00,17.88
3126,05:15,26.33
3126,05:30,33.28
3126,05:45,42.45
3126,06:00,60.29
3126,06:15,98.48
3126,06:30,129.34
3126,06:45,149.90
3126,07:00,176.20
3126,07:15,206.06
3126,07:30,218.15
3126,07:45,223.45
3126,08:00,224.52
3126,08:15,222.05
3126,08:30,219.17
3126,08:45,212.25
3126,09:00,214.35
3126,09:15,209.53
3126,09:30,202.43
3126,09:45,197.65
3126,10:00,188.91
3126,10:15,192.85
3126,10:30,195.52
3126,10:45,193.88
3126,11:00,189.23
3126,11:15,193.90
3126,11:30,196.51
3126,11:45,201.67
3126,12:00,199.02
3126,12:15,199.96
3126,12:30,197.17
3126,12:45,196.40
3126,13:00,193.55
3126,13:15,196.08
3126,13:30,196.26
3126,13:45,196.31
3126,14:00,193.05
3126,14:15,200.68
3126,14:30,198.84
3126,14:45,204.38
3126,15:00,207.01
3126,15:15,206.83
3126,15:30,202.72
3126,15:45,212.40
3126,16:00,232.29
3126,16:15,246.55
3126,16:30,240.30
3126,16:45,248.53
3126,17:00,254.82
3126,17:15,263.48
3126,17:30,258.81
3126,17:45,251.91
3126,18:00,246.11
3126,18:15,235.75
3126,18:30,213.59
3126,18:45,188.47
3126,19:00,175.37
3126,19:15,169.40
3126,19:30,153.27
3126,19:45,135.56
3126,20:00,124.69
3126,20:15,120.86
3126,20:30,114.48
3126,20:45,113.73
3126,21:00,118.76
3126,21:15,115.02
3126,21:30,110.27
3126,21:45,104.41
3126,22:00,102.49
3126,22:15,93.63
3126,22:30,89.02
3126,22:45,77.51
3126,23:00,67.89
3126,23:15,60.77
3126,23:30,52.62
3126,23:45,46.02
3127,00:00,32.82
3127,00:15,29.14
3127,00:30,22.78
3127,00:45,19.97
3127,01:00,16.36
3127,01:15,15.62
3127,01:30,13.28
3127,01:45,11.64
3127,02:00,9.95
3127,02:15,8.99
3127,02:30,9.23
3127,02:45,8.24
3127,03:00,8.06
